,r,g_true
0,0.0,0.0
1,0.01,-0.0055759166746419345
2,0.02,-0.011171933592892962
3,0.03,-0.01680698677929757
4,0.04,-0.022497751326755727
5,0.05,-0.028257675778687496
6,0.06,-0.03409620358534019
7,0.07,-0.040018226756229
8,0.08,-0.046023803355378666
9,0.09,-0.05210815517562741
10,0.1,-0.05826194567194673
11,0.11,-0.06447182197568774
12,0.12,-0.07072118949588592
13,0.13,-0.07699117412941449
14,0.14,-0.08326171623142116
15,0.15,-0.0895127328716648
16,0.16,-0.09572528096296117
17,0.17,-0.10188265382259092
18,0.18,-0.10797134761634675
19,0.19,-0.11398184171071855
20,0.2,-0.1199091477801486
21,0.21,-0.12575309595363884
22,0.22,-0.1315183415567548
23,0.23,-0.13721409222360353
24,0.24,-0.14285357137628207
25,0.25,-0.14845324935454174
26,0.26,-0.15403188693874723
27,0.27,-0.15960944686401493
28,0.28,-0.16520593654374738
29,0.29,-0.17084024916614401
30,0.3,-0.17652907037082183
31,0.31,-0.18228591385458567
32,0.32,-0.18812034172244033
33,0.33,-0.19403741463238214
34,0.34,-0.20003740340823617
35,0.35000000000000003,-0.20611577859280023
36,0.36,-0.2122634782683787
37,0.37,-0.2184674383221945
38,0.38,-0.2247113541184055
39,0.39,-0.23097662913972042
40,0.4,-0.23724345535672714
41,0.41000000000000003,-0.2434919624974122
42,0.42,-0.2497033694605882
43,0.43,-0.255861071069725
44,0.44,-0.26195159719675526
45,0.45,-0.26796538877192166
46,0.46,-0.27389734589659065
47,0.47000000000000003,-0.279747116565602
48,0.48,-0.28551910960874527
49,0.49,-0.2912222314972288
50,0.5,-0.2968693626971724
51,0.51,-0.30247660435591006
52,0.52,-0.3080623394011311
53,0.53,-0.3136461628470218
54,0.54,-0.31924774361585856
55,0.55,-0.32488568406525287
56,0.56,-0.33057644343969206
57,0.5700000000000001,-0.33633338764385634
58,0.58,-0.3421660202922589
59,0.59,-0.3480794393632595
60,0.6,-0.3540740505985218
61,0.61,-0.360145553812642
62,0.62,-0.3662852023862578
63,0.63,-0.37248032033576056
64,0.64,-0.3787150464079739
65,0.65,-0.38497126150725713
66,0.66,-0.3912296451873797
67,0.67,-0.39747079954255227
68,0.68,-0.40367637503638726
69,0.6900000000000001,-0.40983013282903447
70,0.7000000000000001,-0.41591888199310045
71,0.71,-0.42193323741821936
72,0.72,-0.42786815475392087
73,0.73,-0.43372321181024276
74,0.74,-0.43950262065883827
75,0.75,-0.4452149703869177
76,0.76,-0.4508727161348458
77,0.77,-0.4564914447816718
78,0.78,-0.4620889605743466
79,0.79,-0.46768424437559364
80,0.8,-0.4732963474325074
81,0.81,-0.47894328422823795
82,0.8200000000000001,-0.4846409888668886
83,0.8300000000000001,-0.4904023955719863
84,0.84,-0.4962366964858729
85,0.85,-0.5021488194807201
86,0.86,-0.5081391557503323
87,0.87,-0.514203552306868
88,0.88,-0.5203335690173748
