,r,g_bcc,g_hcp
0,0.0,0.0,0.0
1,0.01,-0.005402099510165201,-0.006333077238336299
2,0.02,-0.010842064537682161,-0.012608867859659067
3,0.03,-0.016355594041145262,-0.018773287294530615
4,0.04,-0.021974177830522135,-0.024778476620699416
5,0.05,-0.027723294821460607,-0.030585479180724965
6,0.06,-0.0336209552277323,-0.03616642096245878
7,0.07,-0.03967667010538533,-0.04150607306338106
8,0.08,-0.04589090720879635,-0.04660270890571368
9,0.09,-0.052255064291798395,-0.051468208082101154
10,0.1,-0.058751961378651775,-0.05612740061809762
11,0.11,-0.06535682383412753,-0.060616687714211914
12,0.12,-0.07203869997857265,-0.06498201533119717
13,0.13,-0.07876223212951557,-0.06927631306992774
14,0.14,-0.0854896797288901,-0.07355654066540354
15,0.15,-0.092183078791462,-0.0778805063997892
16,0.16,-0.09880641411081138,-0.08230363461366781
17,0.17,-0.10532767993051174,-0.0868758625332053
18,0.18,-0.11172071117157222,-0.09163883965307457
19,0.19,-0.11796668043746442,-0.0966235862952822
20,0.2,-0.12405517514372065,-0.10184874261162057
21,0.21,-0.12998479314570308,-0.10731950660719598
22,0.22,-0.13576322279078878,-0.11302732153780241
23,0.23,-0.14140680282327034,-0.11895033138843004
24,0.24,-0.14693958733348012,-0.12505458038060072
25,0.25,-0.15239196926395016,-0.13129589095544597
26,0.26,-0.15779894124416202,-0.1376223167450225
27,0.27,-0.16319809327636944,-0.1439770347909148
28,0.28,-0.1686274618506537,-0.15030151650059048
29,0.29,-0.17412335356644376,-0.15653880094103975
30,0.3,-0.179718267793881,-0.16263668795942116
31,0.31,-0.18543903723849148,-0.1685506726547697
32,0.32,-0.1913052928011848,-0.17424645670434744
33,0.33,-0.1973283405664154,-0.17970189522156704
34,0.34,-0.2035105151665387,-0.1849082689259975
35,0.35000000000000003,-0.20984504650970076,-0.1898708087324979
36,0.36,-0.2163164474820171,-0.1946084413583437
37,0.37,-0.22290140042340398,-0.19915276790941935
38,0.38,-0.2295700916361885,-0.20354633023320695
39,0.39,-0.23628791754965786,-0.20784025973386744
40,0.4,-0.24301746489897655,-0.21209143810372783
41,0.41000000000000003,-0.24972065160014467,-0.2163593270853717
42,0.42,-0.25636090581085286,-0.22070264337604278
43,0.43,-0.26290525848603424,-0.22517606403398194
44,0.44,-0.26932622969127534,-0.2298271466949922
45,0.45,-0.2756034007432752,-0.23469363757781853
46,0.46,-0.2817245822284989,-0.23980131924077686
47,0.47000000000000003,-0.28768651107978543,-0.2451625204824245
48,0.48,-0.29349503684232014,-0.2507753742685731
49,0.49,-0.2991647864925365,-0.25662386812198423
50,0.5,-0.3047183270133014,-0.26267868731762584
51,0.51,-0.31018487366855324,-0.26889880693044255
52,0.52,-0.3155986179156407,-0.2752337467510212
53,0.53,-0.3209967706565706,-0.28162636566917043
54,0.54,-0.32641743281482816,-0.2880160414318553
55,0.55,-0.3318974151006338,-0.2943420594513962
56,0.56,-0.33747013172951323,-0.3005470218508192
57,0.5700000000000001,-0.34316368862100993,-0.3065800859280405
58,0.58,-0.3489992754691486,-0.31239984986152547
59,0.59,-0.35498995368128844,-0.3179767223375358
60,0.6,-0.3611399095231329,-0.3232946408523712
61,0.61,-0.3674442151817729,-0.3283520392129652
62,0.62,-0.3738891113897021,-0.33316200627003506
