,Label,Array_Index,Indentation_Number,PEAK_HARDNESS_AVERAGE,VALLEY_HARDNESS_AVERAGE,STRAIN_RATE_SENSITIVITY,ACTIVATION_VOLUME,Area Mean,equivalent_diameter Mean,Aspect Ratio Mean,OrientMax0,OrientMax1,OrientMax2,OrientMax3,OrientMode0,OrientMode1,OrientMode2,OrientMode3,R_Max,G_Max,B_Max,R_Mode,G_Mode,B_Mode
3,Carl,1,4,2.2246747022274915,2.0887969604933763,0.0136851447137826,43.82702547402016,4.316721475241991,2.0181046287870505,4.372062985648586,0.8123373633507556,-0.11336655448513058,-0.08716002485172486,-0.5653840840493826,0.8257705025694314,-0.1118752520201212,-0.08278333175389194,-0.5465655725120163,1.0,0.5304831427969037,0.061289104201729394,1.0,0.5122137047023277,0.0658553024148496
5,Carl,1,6,2.57482267696425,2.466251697985672,0.0093549640613542,54.84999126247513,3.125492793370243,1.7402712565117746,2.467622120360966,0.10991461818450309,0.794144899415728,0.2656252225173608,-0.5354399094239621,0.8387712592272195,-0.41756022071914634,0.3381335996357477,-0.0881584117639054,0.5774634716292362,0.21259742271940407,1.0,0.0,0.47897678874866445,1.0
6,Carl,1,7,2.716359532872127,2.641154947932243,0.0060966856611205,79.18556100128373,1.6956538385353168,1.3323484922536195,2.015983630161386,0.19681524165566935,-0.5293678417311566,0.8125824269498432,0.14402516518032685,0.2012696840205295,-0.5201853479970587,0.8165274381788262,0.14893173175847504,1.0,0.9075664933809297,0.77342631417689,1.0,0.9351278956936742,0.8039340460882762
10,Carl,1,11,2.7607336304325814,2.650814090939672,0.0088226176115973,54.17705783526813,4.394620115318571,1.983505894899542,4.301118800956492,0.23851577847340855,-0.09372501027013729,-0.6630301959067971,-0.703361077388336,0.2320619350028629,-0.08901864903927766,-0.6761637695493299,-0.693560015568076,1.0,0.29736733284957895,0.36011714993279775,1.0,0.36398140044552585,0.3118138211064827
15,Carl,1,16,2.469057263726563,2.3595870719907968,0.0098475772043783,54.3994411072885,6.422970068347978,2.388448309434299,4.822165816750712,0.3270016867235353,-0.5103296607297293,-0.38099572819773936,0.6981946643698421,0.32454231429435,-0.5004126614957846,-0.3702858909582877,0.7121431130077717,1.0,0.03527357909224116,0.41628676812604437,1.0,0.08363718162431422,0.48023785903221006
50,Carl,4,3,2.6606800922309595,2.5553583253232315,0.0087704262138605,56.54213201294522,3.4777145193668484,1.8855255968989224,2.7575472126834053,0.7401384889897361,0.5650897007592602,-0.05249459869486256,0.36071174685566504,0.7298698157637306,0.5704343246184221,-0.05995506345831198,0.37188724594943084,1.0,0.09762221747266553,0.9997989220398332,1.0,0.01986142464249152,0.9861068146081245
52,Carl,4,5,2.729556843948271,2.617917271983446,0.0090681123219985,53.34235113522034,1.577614803998682,1.2757526868790166,2.0757832917588304,0.7460271776484937,0.5845606441308369,0.005623244973701602,0.3189054446997254,0.7238095817598482,0.6017233638090657,-0.010503120384112614,0.33751795102058385,0.9764946694780017,0.2442557076404528,1.0,1.0,0.43551534098467837,0.9389134095736912
53,Carl,4,6,2.8622171419362927,2.7854428968026546,0.0059041594007675,77.56660111691808,3.181309497640583,1.736176000120923,2.7471301374597625,0.815229259968212,-0.09455809193955747,-0.113089668656683,-0.5600631641016514,0.8199313105799922,-0.0950100580691774,-0.11322857803652665,-0.553050652211978,1.0,0.5300096033118087,0.35593428205424704,1.0,0.5312908845417373,0.36543399466312776
54,Carl,4,7,2.550581388946925,2.432101925270768,0.0103287074396831,50.26286466497387,5.564904522735129,2.227363137686236,4.232126424298032,0.5514825558560876,-0.44994709341466366,-0.5903268357009388,-0.3806951940403897,0.5567715828726504,-0.448826005132275,-0.5849214378793379,-0.3826585071988525,1.0,0.5945661081558532,0.4626530376305036,1.0,0.5874521631217566,0.3965558792091597
55,Carl,4,8,2.691221131753084,2.6175510180705244,0.0060271145462884,80.8349132457389,1.55869370962626,1.2957473328654685,1.8041277854656803,0.5088777214991648,-0.12195139380770492,-0.5453429553701314,0.654807134306238,0.49892726592113035,-0.11626274205389507,-0.5469731968772817,0.6620988446058651,0.32829115945122966,0.5969661834015991,1.0,0.24110049653629195,0.6096962766500652,1.0
